StartDevice,StartPort,EndDevice,EndPort,BandWidth,VlanID,VlanMode
r-moose-01,Ethernet0,r-liger-12,Ethernet0,200000,101,Access
r-moose-01,Ethernet8,r-liger-12,Ethernet4,200000,102,Access
r-moose-01,Ethernet16,r-liger-12,Ethernet8,200000,103,Access
r-moose-01,Ethernet24,r-liger-12,Ethernet12,200000,104,Access
r-moose-01,Ethernet32,r-liger-12,Ethernet16,200000,105,Access
r-moose-01,Ethernet40,r-liger-12,Ethernet20,200000,106,Access
r-moose-01,Ethernet48,r-liger-12,Ethernet24,200000,107,Access
r-moose-01,Ethernet56,r-liger-12,Ethernet28,200000,108,Access
r-moose-01,Ethernet64,r-liger-12,Ethernet32,200000,109,Access
r-moose-01,Ethernet72,r-liger-12,Ethernet36,200000,110,Access
r-moose-01,Ethernet80,r-liger-12,Ethernet40,200000,111,Access
r-moose-01,Ethernet88,r-liger-12,Ethernet44,200000,112,Access
r-moose-01,Ethernet96,r-liger-12,Ethernet48,200000,113,Access
r-moose-01,Ethernet104,r-liger-12,Ethernet52,200000,114,Access
r-moose-01,Ethernet112,r-liger-12,Ethernet56,200000,115,Access
r-moose-01,Ethernet120,r-liger-12,Ethernet60,200000,116,Access
r-moose-01,Ethernet128,r-liger-12,Ethernet64,200000,117,Access
r-moose-01,Ethernet136,r-liger-12,Ethernet68,200000,118,Access
r-moose-01,Ethernet144,r-liger-12,Ethernet72,200000,119,Access
r-moose-01,Ethernet152,r-liger-12,Ethernet76,200000,120,Access
r-moose-01,Ethernet160,r-liger-12,Ethernet80,200000,121,Access
r-moose-01,Ethernet168,r-liger-12,Ethernet84,200000,122,Access
r-moose-01,Ethernet176,r-liger-12,Ethernet88,200000,123,Access
r-moose-01,Ethernet184,r-liger-12,Ethernet92,200000,124,Access
r-moose-01,Ethernet192,r-liger-12,Ethernet96,200000,125,Access
r-moose-01,Ethernet200,r-liger-12,Ethernet100,200000,126,Access
r-moose-01,Ethernet208,r-liger-12,Ethernet104,200000,127,Access
r-moose-01,Ethernet216,r-liger-12,Ethernet108,200000,128,Access
r-moose-01,Ethernet224,r-liger-12,Ethernet112,200000,129,Access
r-moose-01,Ethernet232,r-liger-12,Ethernet116,200000,130,Access
r-moose-01,Ethernet240,r-liger-12,Ethernet120,200000,131,Access
r-moose-01,Ethernet248,r-liger-12,Ethernet124,200000,132,Access
r-moose-01,Ethernet256,r-liger-12,Ethernet128,200000,133,Access
r-moose-01,Ethernet264,r-liger-12,Ethernet132,200000,134,Access
r-moose-01,Ethernet272,r-liger-12,Ethernet136,200000,135,Access
r-moose-01,Ethernet280,r-liger-12,Ethernet140,200000,136,Access
r-moose-01,Ethernet288,r-liger-12,Ethernet144,200000,137,Access
r-moose-01,Ethernet296,r-liger-12,Ethernet148,200000,138,Access
r-moose-01,Ethernet304,r-liger-12,Ethernet152,200000,139,Access
r-moose-01,Ethernet312,r-liger-12,Ethernet156,200000,140,Access
r-moose-01,Ethernet320,r-liger-12,Ethernet160,200000,141,Access
r-moose-01,Ethernet328,r-liger-12,Ethernet164,200000,142,Access
r-moose-01,Ethernet336,r-liger-12,Ethernet168,200000,143,Access
r-moose-01,Ethernet344,r-liger-12,Ethernet172,200000,144,Access
r-moose-01,Ethernet352,r-liger-12,Ethernet176,200000,145,Access
r-moose-01,Ethernet360,r-liger-12,Ethernet180,200000,146,Access
r-moose-01,Ethernet368,r-liger-12,Ethernet184,200000,147,Access
r-moose-01,Ethernet376,r-liger-12,Ethernet188,200000,148,Access
r-moose-01,Ethernet384,r-liger-12,Ethernet192,200000,149,Access
r-moose-01,Ethernet392,r-liger-12,Ethernet196,200000,150,Access
r-moose-01,Ethernet400,r-liger-12,Ethernet200,200000,151,Access
r-moose-01,Ethernet408,r-liger-12,Ethernet204,200000,152,Access
r-moose-01,Ethernet416,r-liger-12,Ethernet208,200000,153,Access
r-moose-01,Ethernet424,r-liger-12,Ethernet212,200000,154,Access
r-moose-01,Ethernet432,r-liger-12,Ethernet216,200000,155,Access
r-moose-01,Ethernet440,r-liger-12,Ethernet220,200000,156,Access
r-moose-01,Ethernet448,r-liger-12,Ethernet224,200000,157,Access
r-moose-01,Ethernet456,r-liger-12,Ethernet228,200000,158,Access
r-moose-01,Ethernet464,r-liger-12,Ethernet232,200000,159,Access
r-moose-01,Ethernet472,r-liger-12,Ethernet236,200000,160,Access
r-moose-01,Ethernet480,r-liger-12,Ethernet240,200000,161,Access
r-moose-01,Ethernet488,r-liger-12,Ethernet244,200000,162,Access
r-moose-01,Ethernet496,r-liger-12,Ethernet248,200000,163,Access
r-moose-01,Ethernet504,r-liger-12,Ethernet252,200000,164,Access
r-liger-12,Ethernet252,r-r640-15,p4p1,200000,101-164,Trunk
